TrackNumber,TimePoint,Position,AreaMorphologyCh01,CVBgCorrectedCh01,CVImgDivByBgMinus1Ch01,CVImgMinusBgCh01,CVNoBgCorrectedCh01,MeanBgCorrectedCh01,MeanImgDivByBgMinus1Ch01,MeanImgMinusBgCh01,MeanNoBgCorrectedCh01,PerimeterMorphologyCh01,StdDevBgCorrectedCh01,StdDevImgDivByBgMinus1Ch01,StdDevImgMinusBgCh01,StdDevNoBgCorrectedCh01,SumBgCorrectedCh01,SumImgDivByBgMinus1Ch01,SumImgMinusBgCh01,SumNoBgCorrectedCh01,active,inspected
1,1,1,454,nan,nan,nan,126.644,nan,nan,nan,0.0436757,221.848,nan,nan,nan,0.0553125,nan,nan,nan,23.5412,1,0
1,2,1,2229,nan,nan,nan,96.5951,nan,nan,nan,0.0588318,351.387,nan,nan,nan,0.0568286,nan,nan,nan,139.314,1,0
1,3,1,2401.5,nan,nan,nan,78.035,nan,nan,nan,0.0706832,293.546,nan,nan,nan,0.0551576,nan,nan,nan,177.98,1,0
1,4,1,2419,nan,nan,nan,65.0761,nan,nan,nan,0.079892,255.848,nan,nan,nan,0.0519906,nan,nan,nan,201.408,1,0
1,5,1,2680,nan,nan,nan,55.9543,nan,nan,nan,0.0866092,277.304,nan,nan,nan,0.0484616,nan,nan,nan,241.553,1,0
1,6,1,2929,nan,nan,nan,48.011,nan,nan,nan,0.0935876,279.161,nan,nan,nan,0.0449324,nan,nan,nan,284.6,1,0
1,7,1,3084.5,nan,nan,nan,44.6808,nan,nan,nan,0.101902,278.434,nan,nan,nan,0.0455306,nan,nan,nan,325.882,1,0
1,8,1,2982.5,nan,nan,nan,39.2977,nan,nan,nan,0.111617,270.635,nan,nan,nan,0.043863,nan,nan,nan,345.455,1,0
1,9,1,2846,nan,nan,nan,39.9096,nan,nan,nan,0.122166,248.877,nan,nan,nan,0.0487561,nan,nan,nan,360.024,1,0
1,10,1,2789,nan,nan,nan,38.5709,nan,nan,nan,0.131857,247.421,nan,nan,nan,0.0508585,nan,nan,nan,381.463,1,0
1,11,1,2699,nan,nan,nan,36.8263,nan,nan,nan,0.142913,243.078,nan,nan,nan,0.0526296,nan,nan,nan,400.157,1,0
1,12,1,2739,nan,nan,nan,36.6984,nan,nan,nan,0.151448,244.593,nan,nan,nan,0.055579,nan,nan,nan,430.416,1,0
1,13,1,2687.5,nan,nan,nan,35.8165,nan,nan,nan,0.161585,253.179,nan,nan,nan,0.0578742,nan,nan,nan,451.631,1,0
1,14,1,2924.5,nan,nan,nan,34.8412,nan,nan,nan,0.169483,251.664,nan,nan,nan,0.05905,nan,nan,nan,513.533,1,0
1,15,1,3073.5,nan,nan,nan,35.0392,nan,nan,nan,0.177006,266.149,nan,nan,nan,0.0620216,nan,nan,nan,563.765,1,0
1,16,1,3204.5,nan,nan,nan,34.7307,nan,nan,nan,0.183436,266.836,nan,nan,nan,0.0637084,nan,nan,nan,608.639,1,0
1,17,1,3320,nan,nan,nan,35.2761,nan,nan,nan,0.191266,270.25,nan,nan,nan,0.0674713,nan,nan,nan,657,1,0
1,18,1,3386,nan,nan,nan,36.3864,nan,nan,nan,0.200241,277.563,nan,nan,nan,0.0728604,nan,nan,nan,701.443,1,0
1,19,1,3306.5,nan,nan,nan,35.7841,nan,nan,nan,0.214016,272.836,nan,nan,nan,0.0765836,nan,nan,nan,732.576,1,0
1,20,1,2657,nan,nan,nan,28.4901,nan,nan,nan,0.246327,302.049,nan,nan,nan,0.0701788,nan,nan,nan,686.02,1,0
1,21,1,1291.5,nan,nan,nan,28.4806,nan,nan,nan,0.251909,145.095,nan,nan,nan,0.0717451,nan,nan,nan,340.58,1,0
1,22,1,1233,nan,nan,nan,24.6542,nan,nan,nan,0.268587,142.853,nan,nan,nan,0.0662179,nan,nan,nan,347.282,1,0
1,23,1,2935.5,nan,nan,nan,28.2644,nan,nan,nan,0.270101,279.179,nan,nan,nan,0.0763424,nan,nan,nan,825.427,1,0
1,24,1,3140.5,nan,nan,nan,29.5937,nan,nan,nan,0.274543,281.179,nan,nan,nan,0.0812475,nan,nan,nan,895.561,1,0
1,25,1,3227.5,nan,nan,nan,30.7451,nan,nan,nan,0.281913,288.836,nan,nan,nan,0.0866745,nan,nan,nan,944.973,1,0
1,26,1,3145,nan,nan,nan,29.5311,nan,nan,nan,0.296123,281.078,nan,nan,nan,0.0874487,nan,nan,nan,966.843,1,0
1,27,1,3100,nan,nan,nan,28.6604,nan,nan,nan,0.310603,284.735,nan,nan,nan,0.08902,nan,nan,nan,1000.45,1,0
1,28,1,2834,nan,nan,nan,26.4775,nan,nan,nan,0.335917,277.764,nan,nan,nan,0.0889422,nan,nan,nan,992.298,1,0
1,29,1,2887.5,nan,nan,nan,26.736,nan,nan,nan,0.345772,274.693,nan,nan,nan,0.0924456,nan,nan,nan,1039.74,1,0
1,30,1,2923.5,nan,nan,nan,29.0246,nan,nan,nan,0.357426,261.037,nan,nan,nan,0.103741,nan,nan,nan,1085.5,1,0
1,31,1,2973,nan,nan,nan,28.5929,nan,nan,nan,0.363026,276.25,nan,nan,nan,0.1038,nan,nan,nan,1122.11,1,0
1,32,1,1464,nan,nan,nan,28.6648,nan,nan,nan,0.372826,149.196,nan,nan,nan,0.10687,nan,nan,nan,569.678,1,0
1,33,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
1,34,1,3506.5,nan,nan,nan,32.5615,nan,nan,nan,0.179418,262.291,nan,nan,nan,0.0584211,nan,nan,nan,648.416,1,0
2,35,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,1
2,36,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,37,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,38,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,39,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,40,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,41,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,42,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
2,43,1,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,1,0
