1::1,2::2,3::3,4::4,5::5,6::6,7::7,8::8
,,,,,,,
Bildname,IP-Bildgröße ändern-02, , , , , , 
T = 0,Z = 0, , , , , , 
 , , , , , , , 
Nr.,Werkzeug,Position1[nm],Position2[nm],ΔP2-P1[nm],ΔCh1-T1,ΔT PMT-T1,ΔCh2-T2
 , , , , , , , 
Abstand[nm],Ch1-T1,T PMT-T1,Ch2-T2, , , , 
0.000,3.000,0.000,2.000, , , , 
240.916,1.000,0.000,1.000, , , , 
481.832,1.000,0.000,0.000, , , , 
722.748,1.000,0.000,0.000, , , , 
963.664,1.000,0.000,0.000, , , , 
1204.580,1.000,0.000,0.000, , , , 
1445.496,2.000,0.000,1.000, , , , 
1686.412,1.000,0.000,0.000, , , , 
1927.329,1.000,0.000,1.000, , , , 
2168.245,0.000,0.000,0.000, , , , 
2409.161,0.000,0.000,1.000, , , , 
2650.077,0.000,0.000,1.000, , , , 
2890.993,0.000,0.000,1.000, , , , 
3131.909,1.000,0.000,0.000, , , , 
3372.825,1.000,0.000,0.000, , , , 
3613.741,1.000,0.000,0.000, , , , 
3854.657,1.000,0.000,1.000, , , , 
4095.573,1.000,0.000,1.000, , , , 
4336.489,1.000,0.000,0.000, , , , 
4577.405,0.000,0.000,1.000, , , , 
4818.321,0.000,0.000,0.000, , , , 
5059.237,0.000,0.000,0.000, , , , 
5300.153,0.000,0.000,0.000, , , , 
5541.070,1.000,0.000,0.000, , , , 
5781.986,0.000,0.000,0.000, , , , 
6022.902,1.000,0.000,0.000, , , , 
6263.818,2.000,0.000,0.000, , , , 
6504.734,1.000,0.000,0.000, , , , 
6745.650,0.000,0.000,0.000, , , , 
6986.566,1.000,0.000,0.000, , , , 
7227.482,2.000,0.000,1.000, , , , 
7468.398,2.000,0.000,1.000, , , , 
7709.314,1.000,0.000,0.000, , , , 
7950.230,1.000,0.000,1.000, , , , 
8191.146,1.000,0.000,1.000, , , , 
8432.062,1.000,0.000,1.000, , , , 
8672.978,2.000,0.000,1.000, , , , 
8913.894,0.000,0.000,1.000, , , , 
9154.811,1.000,0.000,1.000, , , , 
9395.727,0.000,0.000,1.000, , , , 
9636.643,1.000,0.000,0.000, , , , 
9877.559,1.000,0.000,0.000, , , , 
10118.475,1.000,0.000,0.000, , , , 
10359.391,0.000,0.000,0.000, , , , 
10600.307,2.000,0.000,1.000, , , , 
10841.223,1.000,0.000,0.000, , , , 
11082.139,1.000,0.000,0.000, , , , 
11323.055,0.000,0.000,0.000, , , , 
11563.971,1.000,0.000,0.000, , , , 
11804.887,1.000,0.000,0.000, , , , 
12045.803,1.000,0.000,0.000, , , , 
12286.719,2.000,0.000,1.000, , , , 
12527.636,1.000,0.000,1.000, , , , 
12768.552,2.000,0.000,0.000, , , , 
13009.468,2.000,0.000,0.000, , , , 
13250.384,2.000,0.000,0.000, , , , 
13491.300,4.000,0.000,0.000, , , , 
13732.216,1.000,0.000,0.000, , , , 
13973.132,1.000,0.000,1.000, , , , 
14214.048,1.000,0.000,0.000, , , , 
14454.964,2.000,0.000,1.000, , , , 
14695.880,1.000,0.000,1.000, , , , 
14936.796,1.000,0.000,0.000, , , , 
15177.712,2.000,0.000,1.000, , , , 
15418.628,0.000,0.000,0.000, , , , 
15659.544,0.000,0.000,0.000, , , , 
15900.460,0.000,0.000,0.000, , , , 
16141.377,1.000,0.000,0.000, , , , 
16382.293,0.000,0.000,1.000, , , , 
16623.209,1.000,0.000,1.000, , , , 
16864.125,1.000,0.000,1.000, , , , 
17105.041,0.000,0.000,1.000, , , , 
17345.957,1.000,0.000,2.000, , , , 
17586.873,5.000,0.000,0.000, , , , 
17827.789,3.000,0.000,0.000, , , , 
18068.705,3.000,0.000,0.000, , , , 
18309.621,1.000,0.000,1.000, , , , 
18550.537,0.000,0.000,0.000, , , , 
18791.453,0.000,0.000,0.000, , , , 
19032.369,2.000,0.000,1.000, , , , 
19273.285,0.000,0.000,1.000, , , , 
19514.201,1.000,0.000,1.000, , , , 
19755.118,4.000,0.000,1.000, , , , 
19996.034,0.000,0.000,0.000, , , , 
20236.950,0.000,0.000,0.000, , , , 
20477.866,1.000,0.000,0.000, , , , 
20718.782,1.000,0.000,1.000, , , , 
20959.698,2.000,0.000,1.000, , , , 
21200.614,1.000,0.000,0.000, , , , 
21441.530,1.000,0.000,1.000, , , , 
21682.446,0.000,0.000,1.000, , , , 
21923.362,0.000,0.000,1.000, , , , 
22164.278,1.000,0.000,0.000, , , , 
22405.194,1.000,0.000,1.000, , , , 
22646.110,1.000,0.000,1.000, , , , 
22887.026,1.000,0.000,1.000, , , , 
23127.942,2.000,0.000,1.000, , , , 
23368.859,0.000,0.000,1.000, , , , 
23609.775,0.000,0.000,0.000, , , , 
23850.691,1.000,0.000,1.000, , , , 
24091.607,1.000,0.000,1.000, , , , 
24332.523,0.000,0.000,1.000, , , , 
24573.439,0.000,0.000,1.000, , , , 
24814.355,2.000,0.000,0.000, , , , 
25055.271,2.000,0.000,1.000, , , , 
25296.187,2.000,0.000,0.000, , , , 
25537.103,3.000,0.000,0.000, , , , 
25778.019,1.000,0.000,1.000, , , , 
26018.935,1.000,0.000,1.000, , , , 
26259.851,0.000,0.000,1.000, , , , 
26500.767,1.000,0.000,2.000, , , , 
26741.683,0.000,0.000,1.000, , , , 
26982.600,0.000,0.000,1.000, , , , 
27223.516,1.000,0.000,1.000, , , , 
27464.432,1.000,0.000,2.000, , , , 
27705.348,1.000,0.000,1.000, , , , 
27946.264,1.000,0.000,1.000, , , , 
28187.180,0.000,0.000,1.000, , , , 
28428.096,1.000,0.000,1.000, , , , 
28669.012,2.000,0.000,1.000, , , , 
28909.928,0.000,0.000,2.000, , , , 
29150.844,0.000,0.000,2.000, , , , 
29391.760,0.000,0.000,4.000, , , , 
29632.676,1.000,0.000,4.000, , , , 
29873.592,1.000,0.000,4.000, , , , 
30114.508,2.000,0.000,3.000, , , , 
30355.425,0.000,0.000,3.000, , , , 
30596.341,0.000,0.000,3.000, , , , 
30837.257,0.000,0.000,3.000, , , , 
31078.173,1.000,0.000,3.000, , , , 
31319.089,1.000,0.000,4.000, , , , 
31560.005,1.000,0.000,4.000, , , , 
31800.921,0.000,0.000,5.000, , , , 
32041.837,0.000,0.000,4.000, , , , 
32282.753,1.000,0.000,6.000, , , , 
32523.669,2.000,0.000,3.000, , , , 
32764.585,1.000,0.000,5.000, , , , 
33005.501,2.000,0.000,7.000, , , , 
33246.417,1.000,0.000,8.000, , , , 
33487.333,1.000,0.000,7.000, , , , 
33728.249,2.000,0.000,9.000, , , , 
33969.166,2.000,0.000,9.000, , , , 
34210.082,1.000,0.000,10.000, , , , 
34450.998,1.000,0.000,12.000, , , , 
34691.914,0.000,0.000,13.000, , , , 
34932.830,1.000,0.000,14.000, , , , 
35173.746,1.000,0.000,16.000, , , , 
35414.662,4.000,0.000,18.000, , , , 
35655.578,4.000,0.000,23.000, , , , 
35896.494,12.000,0.000,29.000, , , , 
36137.410,19.000,0.000,31.000, , , , 
36378.326,23.000,0.000,42.000, , , , 
36619.242,42.000,0.000,53.000, , , , 
36860.158,54.000,0.000,67.000, , , , 
37101.074,65.000,0.000,76.000, , , , 
37341.990,53.000,0.000,97.000, , , , 
37582.907,90.000,0.000,106.000, , , , 
37823.823,90.000,0.000,106.000, , , , 
38064.739,77.000,0.000,129.000, , , , 
38305.655,105.000,0.000,156.000, , , , 
38546.571,99.000,0.000,182.000, , , , 
38787.487,122.000,0.000,210.000, , , , 
39028.403,156.000,0.000,233.000, , , , 
39269.319,147.000,0.000,242.000, , , , 
39510.235,130.000,0.000,254.000, , , , 
39751.151,117.000,0.000,255.000, , , , 
39992.067,109.000,0.000,255.000, , , , 
40232.983,127.000,0.000,252.000, , , , 
40473.899,97.000,0.000,241.000, , , , 
40714.815,92.000,0.000,207.000, , , , 
40955.731,75.000,0.000,191.000, , , , 
41196.648,77.000,0.000,171.000, , , , 
41437.564,60.000,0.000,140.000, , , , 
41678.480,53.000,0.000,144.000, , , , 
41919.396,53.000,0.000,138.000, , , , 
42160.312,60.000,0.000,135.000, , , , 
42401.228,71.000,0.000,139.000, , , , 
42642.144,76.000,0.000,140.000, , , , 
42883.060,86.000,0.000,149.000, , , , 
43123.976,97.000,0.000,140.000, , , , 
43364.892,110.000,0.000,146.000, , , , 
43605.808,138.000,0.000,157.000, , , , 
43846.724,140.000,0.000,155.000, , , , 
44087.640,165.000,0.000,172.000, , , , 
44328.556,173.000,0.000,172.000, , , , 
44569.472,168.000,0.000,185.000, , , , 
44810.389,212.000,0.000,196.000, , , , 
45051.305,186.000,0.000,203.000, , , , 
45292.221,213.000,0.000,221.000, , , , 
45533.137,185.000,0.000,236.000, , , , 
45774.053,196.000,0.000,243.000, , , , 
46014.969,211.000,0.000,254.000, , , , 
46255.885,210.000,0.000,235.000, , , , 
46496.801,213.000,0.000,246.000, , , , 
46737.717,197.000,0.000,233.000, , , , 
46978.633,225.000,0.000,214.000, , , , 
47219.549,191.000,0.000,171.000, , , , 
47460.465,175.000,0.000,158.000, , , , 
47701.381,142.000,0.000,138.000, , , , 
47942.297,106.000,0.000,120.000, , , , 
48183.214,72.000,0.000,105.000, , , , 
48424.130,48.000,0.000,97.000, , , , 
48665.046,41.000,0.000,79.000, , , , 
48905.962,36.000,0.000,73.000, , , , 
49146.878,33.000,0.000,68.000, , , , 
49387.794,55.000,0.000,70.000, , , , 
49628.710,39.000,0.000,74.000, , , , 
49869.626,39.000,0.000,74.000, , , , 
50110.542,57.000,0.000,73.000, , , , 
50351.458,47.000,0.000,71.000, , , , 
50592.374,79.000,0.000,84.000, , , , 
50833.290,62.000,0.000,74.000, , , , 
51074.206,104.000,0.000,80.000, , , , 
51315.122,85.000,0.000,87.000, , , , 
51556.038,118.000,0.000,98.000, , , , 
51796.955,131.000,0.000,110.000, , , , 
52037.871,107.000,0.000,98.000, , , , 
52278.787,112.000,0.000,104.000, , , , 
52519.703,62.000,0.000,84.000, , , , 
52760.619,89.000,0.000,82.000, , , , 
53001.535,57.000,0.000,86.000, , , , 
53242.451,45.000,0.000,86.000, , , , 
53483.367,69.000,0.000,85.000, , , , 
53724.283,34.000,0.000,81.000, , , , 
53965.199,45.000,0.000,82.000, , , , 
54206.115,58.000,0.000,85.000, , , , 
54447.031,70.000,0.000,76.000, , , , 
54687.947,83.000,0.000,77.000, , , , 
54928.863,86.000,0.000,74.000, , , , 
55169.779,83.000,0.000,68.000, , , , 
55410.696,91.000,0.000,76.000, , , , 
55651.612,92.000,0.000,78.000, , , , 
55892.528,109.000,0.000,72.000, , , , 
56133.444,112.000,0.000,69.000, , , , 
56374.360,101.000,0.000,70.000, , , , 
56615.276,81.000,0.000,77.000, , , , 
56856.192,75.000,0.000,72.000, , , , 
57097.108,71.000,0.000,73.000, , , , 
57338.024,73.000,0.000,76.000, , , , 
57578.940,67.000,0.000,76.000, , , , 
57819.856,67.000,0.000,76.000, , , , 
58060.772,78.000,0.000,65.000, , , , 
58301.688,71.000,0.000,67.000, , , , 
58542.604,59.000,0.000,64.000, , , , 
58783.520,58.000,0.000,61.000, , , , 
59024.437,55.000,0.000,61.000, , , , 
59265.353,56.000,0.000,53.000, , , , 
59506.269,38.000,0.000,52.000, , , , 
59747.185,22.000,0.000,46.000, , , , 
59988.101,22.000,0.000,43.000, , , , 
60229.017,18.000,0.000,40.000, , , , 
60469.933,23.000,0.000,30.000, , , , 
60710.849,28.000,0.000,29.000, , , , 
60951.765,22.000,0.000,30.000, , , , 
61192.681,15.000,0.000,32.000, , , , 
61433.597,19.000,0.000,31.000, , , , 
61674.513,19.000,0.000,31.000, , , , 
61915.429,24.000,0.000,29.000, , , , 
62156.345,43.000,0.000,35.000, , , , 
62397.261,52.000,0.000,40.000, , , , 
62638.178,76.000,0.000,36.000, , , , 
62879.094,94.000,0.000,39.000, , , , 
63120.010,112.000,0.000,44.000, , , , 
63360.926,118.000,0.000,48.000, , , , 
63601.842,152.000,0.000,47.000, , , , 
63842.758,143.000,0.000,56.000, , , , 
64083.674,147.000,0.000,64.000, , , , 
64324.590,192.000,0.000,70.000, , , , 
64565.506,189.000,0.000,87.000, , , , 
64806.422,203.000,0.000,93.000, , , , 
65047.338,212.000,0.000,106.000, , , , 
65288.254,182.000,0.000,99.000, , , , 
65529.170,179.000,0.000,94.000, , , , 
65770.086,179.000,0.000,94.000, , , , 
66011.003,168.000,0.000,100.000, , , , 
66251.919,171.000,0.000,106.000, , , , 
66492.835,165.000,0.000,127.000, , , , 
66733.751,180.000,0.000,141.000, , , , 
66974.667,221.000,0.000,147.000, , , , 
67215.583,214.000,0.000,142.000, , , , 
67456.499,193.000,0.000,136.000, , , , 
67697.415,200.000,0.000,106.000, , , , 
67938.331,185.000,0.000,98.000, , , , 
68179.247,189.000,0.000,70.000, , , , 
68420.163,174.000,0.000,65.000, , , , 
68661.079,160.000,0.000,62.000, , , , 
68901.995,138.000,0.000,62.000, , , , 
69142.911,73.000,0.000,56.000, , , , 
69383.827,55.000,0.000,47.000, , , , 
69624.744,55.000,0.000,47.000, , , , 
69865.660,38.000,0.000,45.000, , , , 
70106.576,44.000,0.000,41.000, , , , 
70347.492,50.000,0.000,35.000, , , , 
70588.408,61.000,0.000,36.000, , , , 
70829.324,64.000,0.000,32.000, , , , 
71070.240,60.000,0.000,29.000, , , , 
71311.156,63.000,0.000,29.000, , , , 
71552.072,67.000,0.000,29.000, , , , 
71792.988,56.000,0.000,29.000, , , , 
72033.904,59.000,0.000,27.000, , , , 
72274.820,59.000,0.000,23.000, , , , 
72515.736,60.000,0.000,28.000, , , , 
72756.652,77.000,0.000,33.000, , , , 
72997.568,111.000,0.000,34.000, , , , 
73238.485,142.000,0.000,42.000, , , , 
73479.401,160.000,0.000,38.000, , , , 
73720.317,160.000,0.000,38.000, , , , 
73961.233,184.000,0.000,37.000, , , , 
74202.149,168.000,0.000,39.000, , , , 
74443.065,206.000,0.000,42.000, , , , 
74683.981,185.000,0.000,41.000, , , , 
74924.897,166.000,0.000,48.000, , , , 
75165.813,155.000,0.000,48.000, , , , 
75406.729,147.000,0.000,44.000, , , , 
75647.645,165.000,0.000,51.000, , , , 
75888.561,168.000,0.000,49.000, , , , 
76129.477,158.000,0.000,47.000, , , , 
76370.393,143.000,0.000,43.000, , , , 
76611.309,112.000,0.000,47.000, , , , 
76852.226,96.000,0.000,40.000, , , , 
77093.142,73.000,0.000,32.000, , , , 
77334.058,74.000,0.000,30.000, , , , 
77574.974,74.000,0.000,30.000, , , , 
77815.890,127.000,0.000,32.000, , , , 
78056.806,143.000,0.000,32.000, , , , 
78297.722,167.000,0.000,26.000, , , , 
78538.638,181.000,0.000,30.000, , , , 
78779.554,161.000,0.000,27.000, , , , 
79020.470,154.000,0.000,28.000, , , , 
79261.386,145.000,0.000,29.000, , , , 
