Name:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1-A;B1-A;R1-A
Username:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1 VioBlue-A;B1 FITC-A;R1 APC-A
Id:
0;0;0;0;1;2;3;5;8
Resolution:
4;4;4;4;4;4;4;4;4
Data min:
0.;0.;0.;0.;0.;0.;0.;0.;0.
Data max:
40.48320007324219;1000.;1000.;25.;1000.;1000.;1000.;1000.;1000.
Format:
Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear
Scale:
Linear;Linear;Linear;Linear;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic
Data factor:
2.470160461962223e-002;1.000000047497451e-003;1.000000047497451e-003;3.999999910593033e-002;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003
Gain:
1.;1.;1.;1.;1.;1.;1.;1.;1.
Data:
4.186460748314858e-003;9.999999974752427e-007;9.999999974752427e-007;4.960000049322844e-003;7.132915407419205e-002;1.359209045767784e-002;1.847645081579685e-002;3.246092051267624e-002;1.426298171281815e-002
4.364313557744026e-003;1.666666662458738e-006;1.666666662458738e-006;4.960000049322844e-003;6.238551065325737e-002;1.501298695802689e-002;1.27421272918582e-002;2.075981348752976e-002;9.911813773214817e-003
5.107610952109098e-003;2.666666659933981e-006;2.666666659933981e-006;6.599999964237213e-003;5.173376202583313e-002;1.068244967609644e-002;1.022648625075817e-002;6.409448687918484e-004;3.213158575817943e-003
6.120916921645403e-003;3.999999989900971e-006;3.999999989900971e-006;6.599999964237213e-003;5.828556418418884e-002;1.616397686302662e-002;9.988071396946907e-003;2.599573461338878e-003;1.189294829964638e-002
6.553913466632366e-003;4.333333436079556e-006;4.333333436079556e-006;6.599999964237213e-003;6.137775629758835e-002;1.369217690080404e-002;1.001274678856134e-002;1.27798633184284e-003;1.845789724029601e-003
6.561595015227795e-003;4.666666427510791e-006;4.666666427510791e-006;6.599999964237213e-003;7.08543136715889e-002;1.529220119118691e-002;1.870955713093281e-002;3.613325208425522e-002;9.352854453027248e-003
6.703587714582682e-003;5.333333319867961e-006;5.333333319867961e-006;6.599999964237213e-003;5.012330040335655e-002;1.533035840839148e-002;1.000786013901234e-002;6.294635240919888e-004;3.599568270146847e-003
6.922373548150063e-003;6.333333203656366e-006;6.333333203656366e-006;6.599999964237213e-003;5.456162616610527e-002;1.386858429759741e-002;1.397009380161762e-002;1.986841112375259e-002;6.035978440195322e-003
7.081095594912767e-003;7.000000096013537e-006;7.000000096013537e-006;6.599999964237213e-003;5.28576634824276e-002;1.061898469924927e-002;8.035620674490929e-003;3.04897571913898e-003;3.205374581739306e-003
7.138364482671022e-003;7.333333087444771e-006;7.333333087444771e-006;6.599999964237213e-003;5.010747164487839e-002;1.123945787549019e-002;9.892384521663189e-003;4.212038591504097e-003;8.54595098644495e-003
7.147246971726418e-003;7.666666533623356e-006;7.666666533623356e-006;6.599999964237213e-003;7.265125215053558e-002;1.60408727824688e-002;1.235891040414572e-002;1.831733621656895e-002;1.259871292859316e-002
7.410154677927494e-003;8.333333425980527e-006;8.333333425980527e-006;6.599999964237213e-003;5.517575144767761e-002;1.048767380416393e-002;1.034154556691647e-002;4.03920840471983e-003;3.706605173647404e-003
7.411417551338673e-003;8.666666872159112e-006;8.666666872159112e-006;6.599999964237213e-003;5.419658869504929e-002;1.46572906523943e-002;1.053210068494082e-002;1.386843714863062e-002;6.075968034565449e-003
7.755735889077187e-003;9.000000318337698e-006;9.000000318337698e-006;6.599999964237213e-003;6.236130371689796e-002;1.757273077964783e-002;2.009260840713978e-002;5.524618551135063e-002;1.554016210138798e-002
7.757433690130711e-003;9.333332855021581e-006;9.333332855021581e-006;6.599999964237213e-003;5.51021434366703e-002;1.069515291601419e-002;9.459775872528553e-003;5.945221055299044e-003;4.750378429889679e-003
7.992928847670555e-003;1.033333319355734e-005;1.033333319355734e-005;6.599999964237213e-003;6.500252336263657e-002;1.288967952132225e-002;1.536666415631771e-002;3.152773529291153e-002;8.641084656119347e-003
8.21914803236723e-003;1.066666663973592e-005;1.066666663973592e-005;6.599999964237213e-003;7.465745508670807e-002;1.461207959800959e-002;1.741327159106731e-002;4.602710902690888e-002;1.111192628741264e-002
8.239894174039364e-003;1.133333353209309e-005;1.133333353209309e-005;6.599999964237213e-003;7.839744538068771e-002;1.982689090073109e-002;9.886343963444233e-003;1.358019770123065e-003;5.76263852417469e-003
8.244158700108528e-003;1.166666697827168e-005;1.166666697827168e-005;6.599999964237213e-003;6.641790270805359e-002;1.527149137109518e-002;1.535700168460608e-002;3.497585281729698e-002;1.074133813381195e-002
